document_id,clean_text,sentiment
201,"Sometimes I just need to see the start. Or end. Or a trailer. Or the music and theme from Hans Zimmer. Or the whole movie. Just to feel that thing, I only get from this movie. That the earth, space and time are something special, mystical. I never forget the first time I saw this movie, in an IMAX theatre in 2014. I was struck by it. Totally got me. And it stil does, 7 years later. This is the best movie ever made for me. Because of the feeling it gives me, no other movie can. So hard to get all of this emotion in only one movie. Brilliant.",POSITIVE
202,"After watching this insane movie in the theatres back in 2014 I swore to god I will wait 5 years to watch it again so I get to forget it and experince the insanity it has again
This without doubt is THE BEST MOVIE EVER MADE",POSITIVE
203,"A lot has been said and written about Interstellar. You can obviously take apart any movie that is out there. You'll either love this one or you won't. I kind of would have loved to have watched this on an IMAX screen, the sheer scope of the whole thing. It's just amazing, what Nolan has put on screen here. It's not only the visual experience (there is no 3D here by the way), it's the story/ride you take with it. It might be clear to some earlier than to others, where it's heading (no pun intended), but it doesn't change the fact that it's beautiful ... and terrifying at the same time.Going out and saying this will be considered a classic, might not be too far stretched, but you still can never predict those things. The deserved love the movie gets on IMDb and other places would be an indicator that this will ring true though. The acting is really good, but I can understand if some people have issues with the ending. But the movie had to end in one way or another. It's the best possible way this could go, even if it's not in our grasps just yet ...",POSITIVE
204,"Interstellar is a movie like no other. Unlike many apocalyptic sci-fi films that feature advanced technology as the source of our destruction (ala The Terminator movies), it instead asserts that technology will save us.Not everyone in Interstellar recognizes the potential of advanced technology. Most dismiss it as a waste of time and resources, and not just old curmudgeons feel this way. Thoughtful, intelligent young characters share this sentiment. This belief gained steam following a world-wide blight that wiped out the vast majority of life on earthâ€”crops and humans.Farming became paramount while advanced technology was deemed frivolous. Cooper (McConaughey) remains one of the few survivors who still appreciates the need for engineering. He feels like a man lost in time, until he stumbles into the headquarters of NASA (which had been operating in secret due to public disapproval). Here he meets others who realize that a return to our old ways is unsustainable and will ultimately lead to our demise. We need technology to save us. As Michael Caine, playing the brilliant (duh!) Professor Brand, eloquently tells Cooper, ""we were never meant to save the world. We were meant to leave it."" For a movie that won an Oscar for Best Visual Effects (and deservedly so) the sound stole the show. Hans Zimmer (Dark Knight Trilogy) unleashed a performance that was, quite appropriately, out of this world. Never have I seen a movie elevated so much by its score. The sound literally took my breath away. Forgive me for the next paragraph. I will gush irresponsibly about the magic that is this movie's sound. Skip it if you please. You have your warning.The music fueled every important scene. In every meaningful moment Zimmer's harmonies captivated watchers' attention in the way of a coach commanding a locker room with a pregame speech. The music elucidated those emotional scenes, particularly ones featuring Cooper and his daughter, in a way that no words or visual ques possibly could. I sat frozen, jaw agape, with tears pouring down my cheeks as the music completely overwhelmed my emotions. The sound penetrated my soul and reverberated through my body, flowing to my appendages, supplying me with life like a heartbeat pumping blood through my veins. The music was truly the life force of movie.Yes, we all witnessed a visual triumph, a daring creative wonder the likes of which we haven't encountered since Inception. Yes, nearly every actor's performance proved worthy of commendation. McConaughey is on fire. Chastain is blossoming into a star. At this point Michael Cain exudes such knowledge and wisdom by merely appearing on screen that if he were cast as Albert Einstein, people would wonder if the role were beneath him. All this considered, and the sound still towered over everything.I walked out of the theater believing that I had experienced something unique, something truly special. Interstellar inspires, it awes, and above all it entertains. I cannot ask for more than that.",NEGATIVE
205,"Amongst the best movies of all time. The story, the acting, the script, the cinematography, the effects, the sound and the production as a whole is all absolute 10/10's.But what beats all of that is Hans Zimmers compositions. How he continues to churn out perfection to the senses is mindblowing.",POSITIVE
206,"This movie was the best written, acted, visual effected, etc. movie. This movie was the best movie I have ever seen. I am a huge Christopher Nolan fan and this movie was his finest. Matthew McConaughey turned in his best performance of his lifetime. Anne Hathaway was an amazing supporting actress and compared to her performance in Les Miserables, I have no idea how she didn't get an Oscar for this. The visual effects were more than just Oscar worthy. They were pioneering. I have never seen anything like it. One thing I would recommend is having a little previous knowledge about space. Not like Einstein stuff though. I would recommend you see this movie as fast as you can if you are a Nolan fan or not. I give this movie a rating of 97 out of 100.",POSITIVE
207,A science-fiction masterpiece. Nolan executes a marvelous direction that slowly but efficiently puts in place a dark world creating a necessity to save humanity. Add to that great performances from Nolan and Hathaway plus a great score from Hans Zimmer. The result is on the best science-fiction movies of all time.,POSITIVE
208,"I judge a movie by how long it takes me to realize I need the bathroom, how long the movie can hold my interest and how convincing the events unfolding are. Well, I watched this movie all the way through with no bathroom breaks. My interest was grabbed from the start and held all the way through. Being old enough, and lucky enough to have watched the premiere of 2001 A Space Odyssey - and viewed it several times since - of course I made comparisons, and there were a few, but this movie tells an excellent stand alone story that is both riveting and believable. I'm not going to give away any secrets but anyone who watches the last five minutes or so without a lump in their throat and a tear in their eye, well you're a critic, you're not enjoying the movie because you're too busy looking for bloopers and faults. Were there bloopers and faults? The darn movie was so riveting if there were any I didn't notice them!",POSITIVE
209,"I think just about everything has been said about this film now. But, I can still tell you what this masterpiece is to me. To me, this movie is possibly the most relevant movie ever, because it questions our own humanity relative to the Universe. Whether that's our ability to love, think, or persevere and walk into the unknown. We are explorers, and curious at heart. This untameable curiosity is not our end, but our beginning. It is what advanced this civilization and it will continue to do so. So never, never let anybody tell you that we shouldn't look towards the stars and wonder, because that's what makes us human. Without this stargazing we are merely animals, accepting our fate in the dust...",POSITIVE
210,"I was extremely lucky to get the chance to see this film upon its first day release, before entering the cinema, my expectations were already high, after all, this was a film from the cinematic genius who brought us the likes of 'Inception' and 'The Dark Knight', to summarise the following review in a single sentence: I left the cinema in extreme awe from the visual masterpiece I had just viewed. A film that explores the psychological and emotional state of a man whose life revolves around his family, 'Interstellar' is a thrilling and thought-provoking film that boasts an intellectual story masterfully written by the Nolan brothers. Whilst there seems to have been influence from films like '2001: A Space Odyssey' and 'Apollo 13', 'Interstellar' is unique in its own way. Whilst the subject may be hard to comprehend at times, it can't be denied how visually monumental and thoughtful Christopher Nolan's epic science fiction masterpiece is, and can easily be named the best film of this year and possibly one of the greatest science fiction films to have ever graced the screen. A sheer brilliant feat of cinema.",POSITIVE
211,"""Interstellar"" is one of Christopher Nolan's best-known films, praised by many for its compelling story and visual style. At the same time, although the film starts out really spectacular and interesting, it struggles with many flaws. Let me break it down.Nolan's direction is great, one of his most atmospheric ones besides ""Inception"". The film is visually outstanding, both the cinematography and the effects look beautiful. The performances are fantastic, especially from Matthew McConaughey and Anne Hathaway. The film's score is brilliant, Hans Zimmer's music is incredibly well composed and without a doubt, it adds to the atmosphere. However, although the story of the film begins interestingly and engagingly, it gets too confusing at the end. The ending feels way too much and completely out of place. Unfortunately, this is the low point of ""Interstellar"", and even considering its strengths, it remained a mediocre experience for me.So, all in all, although ""Interstellar"" starts really well, the ending unfortunately detracts from the overall viewing experience, and at the end of the day, it's nothing extraordinary.",NEGATIVE
212,All is amazing. I can't describe anything. It's a film that leads you to think about yourself and your plans in your life. I am a real series/movies' lover and... This was awesome.,POSITIVE
213,"I will keep this short for the sake of not spoiling anything.Right off i should say I love Nolan. I adore most of his movies, and Interstellar is no exception. It is a marvelous piece of work whose visuals will be hard to forget. His shots of space and the way he played with colors is rather masterful. Maybe i expected it to be greater than what i saw, but even though i was moved by the movie i did not quite feel like he created something great with 'Interstellar.' This could be attributed maybe to his overuse of sentimentalism in the father-daughter relationship he creates. Nolan really tries to make you cry with this one. I have never seen him use such powerful emotions in his movies; however that is not necessarily a good thing for this movie, given that he uses his time trying to develop a family relationship at the expense of flow and congruency. Again, the Visuals are completely off the charts. The visual imagery is truly beautiful and something that Nolan has always excelled at. Given that the most visually stunning movie in recent years, Gravity, recently came out, Interstellar does not lag behind and shows you a spectacle of Visual effects.He will most likely win Visual effects at the Oscars. The Hans's score is marvelous and will most likely earn an Oscar nomination. Matthew Mcconaughey's acting is good, but nothing stellar, especially coming off the best acting role of his career. He plays the character like it should be played, but Nolan's characters never being truly drawn out or rounded does not help him any.The same can be said for the rest of the cast. The little girl was marvelous though. I do not want to reveal any piece of the story whatsoever, but i have to say, it is one of the most original scripts i've ever seen. Ultimately this movie is entertaining. There is no way Nolan can miss that. Another great thing that Nolan excels at is INSPIRING. By the time the credits rolled and people walked out, I sat there still in awe at the strong sense of human will the movie conveys. Personally, I don't think this is Nolan's best. I believe Memento stands as his masterpiece. But with Nolan, everyone has their own favorite movie. Maybe for some, Interstellar will be their favorite movie, for it is really Nolan's most ambitious and visually-striking work. By the way, Anyone else who even tries to compare Interstellar to ""2001: A Space Odyssey"" is out of their mind. Kubrick's mission was to create art. Nolan in ""Interstellar"" sets to awe and inspire its audiences. It is truly a great piece of work.",POSITIVE
214,"Yesterday I watched the movie ""Interstellar"". A poorly scripted and poorly directed movie with an over-simplified pseudo-science and spoon-fed philosophical implications, basically a typically overrated Hollywood movie which takes no shame in copying from 2001: A Space Odyssey from Kubrick with none of its beauty, simplicity and none of its art. It shows that in 1968 they were able to make a masterpiece and in 2014 they can't even copy it decently. The fact that on IMDb it has an higher rating than the Kubrick masterpiece makes me lose all faith in the progress of humanity and in our current generation. I will watch 2001: A space odyssey again to forget about it and restore faith in human kind again.",NEGATIVE
215,"Interstellar - ReviewCertain things in life are precious. Very precious. And so was the Film for me.Why you might ask?Well seldom do i get the chance where i find myself sitting in a cinema anxious and intrigued by what might come. In a time where trailers are omnipresent and going to the movies without having seen one seems unreasonable, outright stupid to some i had the magical chance to find myself in front of the IMAX on a cold November night with 2 tickets to Interstellar. My only knowledge was that Nolan directed it and McConaughey stars in it.The images were brilliant the acting was top notch and everything was blended together by Hans Zimmer and his Music. 169 minutes flew by me with my eyes fixed on the screen and my heart racing. And there it was.. The ending. I couldn't believe it . I was reliving, rethinking the movie while the credit scenes rolled enjoying the moment, the smell of popcorn, my comfortable seat and what do i see next to me? Ninety percent of the people in the cinema rushing outside after the first second of the credit scenes. .. .Well apparently people enjoy movies different than i do. Maybe i should start watching trailers again :).",POSITIVE
216,"I hadn't seen this but movie and caught it on a flight back from the DR. 
One of my favorite movies of all time. I would give the first half of the movie an 11/10, just completely enjoyed it as a sci fi/ thriller(in the sense of so much always being on the line). I loved the acting and just yeah, a great movie and one you should go see if you never have",POSITIVE
217,"I have been a cinema lover for years, read a lot of reviews on IMDb and everywhere, and never found the right movie to write my first review. I always thought I would wait for THE movie.And this is IT!When I first heard that Nolan was preparing a sci-fi movie, I felt like a kid again, waiting for his Christmas gift under the tree. I knew it would become a classic. And I'm sure it will.First of all, it is incredibly beautiful to watch. Honestly, it was so beautiful that I felt like I was sucked into the movie. The way Nolan decided to show some scenes really remind me of 2001 A Space Odyssey (actually many things will probably remind you of this movie). We can feel the talent of Christopher Nolan, just by looking at the way it is filmed. The techniques he used contribute to create that visual environment in a believable way.The sound environment is just mesmerizing. It is a very important part of the movie, because some scenes take place in space, and Noland just found the right way to use sound. The soundtrack (made by the great Hans Zimmer) is breathtaking, epic, amazing, unreal. I could find a lot more adjectives to qualify it, but you have to hear it to understand how epic they are. These two important parts (image and sound) create a stunning atmosphere. You will forget you are in a movie theater, and you will be lost in space, sucked into the adventures of this new Space Odyssey, begging for more. It is a truly unique experience. I can say that I have never felt something like that in a movie theater (at least not for the past ten years).Then, of course, the cast. First of all, Matthew McConaughey. I discovered this actor in Tropic Thunder, but he didn't really convince me, though he was quite funny. Then I saw Dallas Buyers Club. Since that movie, I love him. In this movie... Well, he is the movie. I exaggerate a bit, since there are other great actors (some even unexpected with a special guest) who play extremely well. But he is just what was needed to feel the human part of the story (which is very important in Interstellar). He is capable of making us feel so many different emotions all along the story, as a father, as a human. Anne Hathaway was very convincing, all together the actors managed to create some harmony, which makes the human interactions credible. Caine, Chastaing and Affleck are a perfect choice. And then there is... The special guest, I will call him ""X"". His role, which could be seen as a minor role, is actually much more important than that. He proves, once again, that he is a great actor. Watch and see.And finally, the scenario/story. I won't spoil anything here; I'll just try to convince you how great it is. Nolan is known to revolutionize everything when he tries a new genre in cinema. Well, once again he did it. With The Dark Knight he revolutionized the superhero genre. With Interstellar he's revolutionizing the sci-fi genre in cinema. From what I heard, he worked with a physicist (in gravitational physics and astrophysics) to help him with that movie. And we can feel and see it. During the fifties, Asimov laid the foundations of modern science fiction. Lucas and Kubrick did the same in cinema. Today, Nolan is laying the new foundations of the genre in cinema, proving that cinema is still at the beginning of what can be done (brace yourselves my friends, we have not seen anything yet). Why? Well, simply because we only know a few things about space, some things can't be proved for the moment, so we can use theory, and make the best of it. That is exactly what Nolan did. He used theories that exist today, and made a movie about mankind, about pioneers, about humanity, about us.Because, in spite of all the sci-fi aspect, it is a story about humanity. McConaughey, Hathaway, and mainly ""X"", will managed to convince you about that.My rating for this movie can only be a 10, because in itself, it is a beginning for a new kind of cinema. It IS a classic. Those who say ""we can't compare this movie to 2001 Space Odyssey, nor can we compare Nolan to Kubrick"" are wrong. We can, and we should. Talented people don't live only in the past, some genius live today, among us. And Nolan is one of them. Many say that he is overrated. I truly don't think so. Only time will answer that.This is the sci-fi movie of the decade, and probably the best movie Nolan ever made. Just go for it, without a second thought.",POSITIVE
218,"There is not even a single day I don't think of this movie, it's scenes , it has a profound impact on me and it shall remain with me forever.",POSITIVE
219,"Set in a future where crop species are going extinct one after another former test pilot Joseph Cooper is now a farmer growing corn. His daughter Murphey thinks there is a ghost in her room; Cooper doesn't believe in ghosts but accepts that something is there when the dust on the floor is a set of coordinates in binary form. He goes to that location and finds himself at a NASA base where he learns of a secret programme to find another habitable world involving a wormhole discovered near Saturn. He is asked to take part in a mission to find the best planet out of three orbiting a black hole; each of which has a scientist who went on a one way mission sending data back. The plan is to find a world to transfer humanity to but if that is impossible there is a back-up plan for the crew to raise the 5000 embryos stored aboard their ship. Time is an issue as it moves at a different rate near the black hole; this means that as hours pass for Cooper years are passing back on Earth.This film starts at a gentle pace gradually explaining what has happened to the Earth before getting the mission to save the world started; this means the separation of Cooper and Murphey is more emotional. Once the mission is underway there is plenty of tension, including some particularly gripping moments on the second planet they visit. The small cast does a fine job; especially Matthew McConaughey, who plays Cooper; Anne Hathaway, who plays Amelia Brand a scientist aboard the mission; and Mackenzie Foy and Jessica Chastain, who play the younger and older Murphey. The effects looked great, as one would expect in a film from Christopher Nolan, and I was pleased that space was depicted as silent; something that is both scientifically correct but also more impressive. Things do get a little confusing near the end but in a way that made me want to watch again rather than causing frustration.Overall I'd recommend this to somebody looking for intelligent science fiction in the mould of '2001 â€“ A Space Odyssey'Â… although this has more emotion to it than that classic.",POSITIVE
220,"It's difficult to put into words how powerful this film is. In fact, I'd go as far to say as this is so much more than just a film. After watching this, you somehow feel as if you've experienced a whole lifetime in a mere 3 hours. There isn't a single moment that goes unwasted; everything is purposeful.This is a sci-fi film in which the 'fi' part enables the film to convery so many powerful messages. It puts just the right amout of focus on science without trying too hard to explain or prove itself. To me, one of the most powerful effects this film has left me with is the concept of impermanence. Our time on this world is finite and we should cherish and embrace it as much as we can. The film also fiddles with the concept of time and uses it as an integral part of the plot. But perhaps the most powerful message of this film is of the human condition. Yes, as humans we have our shortcomings. But we can also show remarkable empathy, dedication and ingenuity.I would be lying if I said I wasn't highly emotional while watching this film. In fact, I found myself breaking into tears several times throughout the film. I know this review wasn't very analytical - I will say the following though: this film is so immersive and well done that you forget you're watching a film. The acting is simply superb and believable at all times. Reviewing this without talking about the audio and the music would be a great disservice. The film is accompanied by one of the most brilliant soundtracks. From a composition perspective, it might seem that there isn't a lot going on in the music. But the power of the soundtrack is in its simplicity and the emotions it manages to evoke.I will end this review by saying that I truly think this film has made me a better person in some sense. It reminded me of how powerful humans can be, and how we should use our finite time on this planet to care and be empathic towards each other and our planet.",POSITIVE
221,"I understand Mr. Nolan purposely made the dialogue in Interstellar indistinct to achieve some artistic goal. Unfortunately, I, being almost completely deaf, could not understand enough dialogue to even guess what was going on. I can usually get by without close captioning, but in this case, it was impossible. If I had known this going in, I would have opted for a theater with close captioning . . . whoops, this wasn't digital. Sarcasm aside, I guess Mr. Nolan did not think about how his decisions impacted the hearing impaired. I did not vote because it would not be fair to judge the book solely by its cover. I need to see the movie again with closed captioning before I can vote. I hope I didn't spoil this for anyone. Mr Nolan sure spoiled it for me.",NEGATIVE
222,"Not many directors have the clout of Christopher Nolan. Most of them receive notes from their fretting studios: suggestions (or demands) to change plot points or highlight certain characters/actors, which must be adhered to for contractual or financial reasons. With huge, intelligent blockbuster successes like the Dark Knight franchise and Inception, Nolan has deservedly won carte blanche from Warner Bros. for Interstellar - he gets garguantan sums of money and complete autonomy to realise his artistic vision. In effect, he's making an indie movie on a blockbuster scale. Ironically, this lack of oversight might be just what keeps Interstellar - a very good, occasionally brilliant foray into the furthest reaches of our galaxy and beyond - from greatness.Cooper (Matthew McConaughey), a former pilot and engineer, is now reluctantly scraping together a living as a farmer on a starving Earth. With sandstorms swirling and food supplies dwindling by the day, it doesn't seem likely that Cooper's children, stoic Tom and inquisitive Murphy, will have much of a world left to inherit when they grow up. While investigating a ""ghost"" in Murphy's bedroom, Cooper deciphers a message that brings him to a top-secret NASA base. Once there, Cooper learns from his former mentor, Dr Brand (Michael Caine), that NASA is looking for solutions to Earth's crisis in other galaxies. A recently-opened wormhole has given NASA and its scientists access to a whole new galaxy of planets. Brand appeals to Cooper to pilot the final and most important mission: to determine whether any of three identified planets can truly host human life. But it's a journey from which Cooper might never return - one that will take him away from his kids and everything he has ever known and loved.That's not even the half of it â€“ Nolan's narrative is a sprawling, ambitious one that asks heavy metaphysical questions about the position and role of humanity in the universe, filtered through the prism of a father and daughter whose bond transcends time and space. It's shot through with complex scientific theories about wormholes and time travel courtesy of theoretical physicist Kip Thorne (who served as a consultant on the film). Indeed, much of Interstellar plays with such philosophical gravity that one can't help wondering if it's simply too deep a subject to be effectively communicated in a movie that must also create emotional stakes and real characters.Clocking in at almost three hours, Interstellar pulses with intelligence and occasional bursts of brilliance. The science and emotion of its story works best on each planet they manage to visit, with Nolan crafting some chillingly smart sci-fi moments amidst the human drama experienced by Cooper's crew. As badly as Cooper wants to save enough fuel to make the return trip home, Amelia Brand (Anne Hathaway) has both professional and personal stakes in visiting the planet that's furthest away from the wormhole. They trade hope for time, the minutes they use to hunt for salvation translating into the loss of decades with their loved ones. The film is at its best when the members of the Endurance - including David Gyasi's Romilly and Wes Bentley's Doyle - confront one another, and establish contact (or fail to do so) with the scouting teams that preceded them through the wormhole.But Interstellar also suffers from a bloated and faintly silly final act. The science of it may be well-founded (who knows, after all, what miraculous answers really do lie within a black hole?) and the concept very cool, but it doesn't quite translate as such. Instead, the film hyper-blasts itself into a oddly cheerful (and confusing) ending that feels purely fictional and not at all scientific. There's no denying, either, that Nolan could have carved half an hour or more out of Interstellar without losing any of its narrative or emotional density. Instead, many scenes unfold in an almost obstinately languid fashion, including a moment when Cooper is left gasping for oxygen on the icy terrain of an alien planet. It's pretty evident, too, that Nolan really wanted to make sure his audiences knew how little greenscreen he used to make the film; for no other discernible reason, his camera lingers in extreme close-up - and far too often - on the exterior shells of the various spacecrafts designed for the film.Nolan can afford the best when it comes to his cast as well, and it shows. McConaughey anchors the film with a gravitas and tenderness quite unknown before his career McConnaissance, and he's ably supported by a steely Hathaway, whose character, just like the film she's in, blends cold, pragmatic science with a churning wealth of emotion. Jessica Chastain and Matt Damon, in roles perhaps best left unspecified to avoid any explicit spoilers, are excellent too - the former radiates quite enough warmth and intelligence to make us believe that she can save the world, and the latter admirably treads in morally grey areas to good effect.For months before its release, Nolan kept Interstellar firmly under wraps. Everyone speculated that it would be a game-changer - a sci- fi blockbuster as thrilling and thought-provoking as it is entertaining. In some ways, that's true of the final product: Nolan's film is brave, brainy film-making, and it looks absolutely spectacular. But, on closer examination, Interstellar loses some of its gloss and varnish - and beneath it all lies an unwieldy script that meanders a little too long and wastes a little too much of the big, breathtaking ideas that underpin its story.",POSITIVE
223,THIS IS A MANKIND ACHIEVEMENT.THE BEST MOVIE EVER MADE.IS ANYONE HAS DOUBT?,POSITIVE
224,"Though I am not a Bat-person, and do not wish to become one, I have admired Christopher Nolan for his early films and 'Inception', though, with the exception of 'Insomnia', I always regarded them as, in the immortal words of Andrew Sarris 'less than meets the eye'. I do not like to call films pretentious, but with 'Memento' and 'Inception' the word certainly came to mind. They seemed shallow pretending to be deep.The same is, in my opinion, certainly true of 'Interstellar'. Yes, it carries you along for a ride, and yes the special effects are great, and yes, it might give us pause to think what will, in fact, be the destiny of our species. But, my dear Mr Nolan, surely you must realise that our species will not survive by planting American flags on distant planets. And, like 'Gravity' before it, the search for a happy ending has totally destroyed any shred of credibility of what might have gone before. The image of Cooper floating around Saturn without his spaceship, waiting to be picked up by a passing probe (just before his oxygen runs out, of course) is so ridiculous that if Stanley Kubrick were to be told that it is a respectful reference to the 'starchild' at the end of '2001', he'd punch you in the nose. 'Interstellar' - for all of its attempts to incorporate relativistic time dilation and very clever (I do not use that word in a derogatory sense) visual representation of multi-dimensional string theory towards the end, is void of any real cultural insight.The film simply extends 'The Wizard of Oz' into the space age and decides at the end that there is really somewhere better than home. It is TOSH! Great films tell us something memorable about the human condition, or the nature of cinema itself. This film, for all its quotes from Dylan Thomas does neither. It is for people who think that the word 'awesome' has some profound meaning and not, as is the case, an excuse for not finding a more appropriate and restrained reaction. Any suggestion that it deserves a Best Picture Oscar is a sad comment on the way that those awards have become debased in recent years.",NEGATIVE
225,"If you saw ""sunshine"" and thought ""wow, good thing they had scientist advisers, this stuff is so plausible"", you will like ""interstellar"".If you saw ""armaggeddon"" and thought ""what an awesome movie, i just wished they would have dragged the scene where he says goodbye to his daughter out even more"", you will like ""interstellar"".If you saw ""inception"" and thought ""this movie would be so much better in SPACE!"", you will like ""interstellar"".And if you liked ""2001"" or any other intelligent/geeky sci-fi movie, you will hate ""interstellar"".Like some of Nolan's earlier works, it's long for the sake of length only. Its plot is up there with ""armaggeddon"" in pure stupidity and forced US-cowboy-patriot-macho-ism, its special effects are underwhelming, its plot twists are obvious, its setting makes no sense, its characters are flat and forgettable, and its constant citations of ""2001"" just serve to make you remember how much better Kubrick did all of this with a tiny fraction of the money almost 50 years back.Disappointing.",NEGATIVE
226,"Sometimes I just need to see the start. Or end. Or a trailer. Or the music and theme from Hans Zimmer. Or the whole movie. Just to feel that thing, I only get from this movie. That the earth, space and time are something special, mystical. I never forget the first time I saw this movie, in an IMAX theatre in 2014. I was struck by it. Totally got me. And it stil does, 7 years later. This is the best movie ever made for me. Because of the feeling it gives me, no other movie can. So hard to get all of this emotion in only one movie. Brilliant.",POSITIVE
227,"After watching this insane movie in the theatres back in 2014 I swore to god I will wait 5 years to watch it again so I get to forget it and experince the insanity it has again
This without doubt is THE BEST MOVIE EVER MADE",POSITIVE
228,"A lot has been said and written about Interstellar. You can obviously take apart any movie that is out there. You'll either love this one or you won't. I kind of would have loved to have watched this on an IMAX screen, the sheer scope of the whole thing. It's just amazing, what Nolan has put on screen here. It's not only the visual experience (there is no 3D here by the way), it's the story/ride you take with it. It might be clear to some earlier than to others, where it's heading (no pun intended), but it doesn't change the fact that it's beautiful ... and terrifying at the same time.Going out and saying this will be considered a classic, might not be too far stretched, but you still can never predict those things. The deserved love the movie gets on IMDb and other places would be an indicator that this will ring true though. The acting is really good, but I can understand if some people have issues with the ending. But the movie had to end in one way or another. It's the best possible way this could go, even if it's not in our grasps just yet ...",POSITIVE
229,"Interstellar is a movie like no other. Unlike many apocalyptic sci-fi films that feature advanced technology as the source of our destruction (ala The Terminator movies), it instead asserts that technology will save us.Not everyone in Interstellar recognizes the potential of advanced technology. Most dismiss it as a waste of time and resources, and not just old curmudgeons feel this way. Thoughtful, intelligent young characters share this sentiment. This belief gained steam following a world-wide blight that wiped out the vast majority of life on earthâ€”crops and humans.Farming became paramount while advanced technology was deemed frivolous. Cooper (McConaughey) remains one of the few survivors who still appreciates the need for engineering. He feels like a man lost in time, until he stumbles into the headquarters of NASA (which had been operating in secret due to public disapproval). Here he meets others who realize that a return to our old ways is unsustainable and will ultimately lead to our demise. We need technology to save us. As Michael Caine, playing the brilliant (duh!) Professor Brand, eloquently tells Cooper, ""we were never meant to save the world. We were meant to leave it."" For a movie that won an Oscar for Best Visual Effects (and deservedly so) the sound stole the show. Hans Zimmer (Dark Knight Trilogy) unleashed a performance that was, quite appropriately, out of this world. Never have I seen a movie elevated so much by its score. The sound literally took my breath away. Forgive me for the next paragraph. I will gush irresponsibly about the magic that is this movie's sound. Skip it if you please. You have your warning.The music fueled every important scene. In every meaningful moment Zimmer's harmonies captivated watchers' attention in the way of a coach commanding a locker room with a pregame speech. The music elucidated those emotional scenes, particularly ones featuring Cooper and his daughter, in a way that no words or visual ques possibly could. I sat frozen, jaw agape, with tears pouring down my cheeks as the music completely overwhelmed my emotions. The sound penetrated my soul and reverberated through my body, flowing to my appendages, supplying me with life like a heartbeat pumping blood through my veins. The music was truly the life force of movie.Yes, we all witnessed a visual triumph, a daring creative wonder the likes of which we haven't encountered since Inception. Yes, nearly every actor's performance proved worthy of commendation. McConaughey is on fire. Chastain is blossoming into a star. At this point Michael Cain exudes such knowledge and wisdom by merely appearing on screen that if he were cast as Albert Einstein, people would wonder if the role were beneath him. All this considered, and the sound still towered over everything.I walked out of the theater believing that I had experienced something unique, something truly special. Interstellar inspires, it awes, and above all it entertains. I cannot ask for more than that.",NEGATIVE
230,"Amongst the best movies of all time. The story, the acting, the script, the cinematography, the effects, the sound and the production as a whole is all absolute 10/10's.But what beats all of that is Hans Zimmers compositions. How he continues to churn out perfection to the senses is mindblowing.",POSITIVE
231,"This movie was the best written, acted, visual effected, etc. movie. This movie was the best movie I have ever seen. I am a huge Christopher Nolan fan and this movie was his finest. Matthew McConaughey turned in his best performance of his lifetime. Anne Hathaway was an amazing supporting actress and compared to her performance in Les Miserables, I have no idea how she didn't get an Oscar for this. The visual effects were more than just Oscar worthy. They were pioneering. I have never seen anything like it. One thing I would recommend is having a little previous knowledge about space. Not like Einstein stuff though. I would recommend you see this movie as fast as you can if you are a Nolan fan or not. I give this movie a rating of 97 out of 100.",POSITIVE
232,A science-fiction masterpiece. Nolan executes a marvelous direction that slowly but efficiently puts in place a dark world creating a necessity to save humanity. Add to that great performances from Nolan and Hathaway plus a great score from Hans Zimmer. The result is on the best science-fiction movies of all time.,POSITIVE
233,"I judge a movie by how long it takes me to realize I need the bathroom, how long the movie can hold my interest and how convincing the events unfolding are. Well, I watched this movie all the way through with no bathroom breaks. My interest was grabbed from the start and held all the way through. Being old enough, and lucky enough to have watched the premiere of 2001 A Space Odyssey - and viewed it several times since - of course I made comparisons, and there were a few, but this movie tells an excellent stand alone story that is both riveting and believable. I'm not going to give away any secrets but anyone who watches the last five minutes or so without a lump in their throat and a tear in their eye, well you're a critic, you're not enjoying the movie because you're too busy looking for bloopers and faults. Were there bloopers and faults? The darn movie was so riveting if there were any I didn't notice them!",POSITIVE
234,"I think just about everything has been said about this film now. But, I can still tell you what this masterpiece is to me. To me, this movie is possibly the most relevant movie ever, because it questions our own humanity relative to the Universe. Whether that's our ability to love, think, or persevere and walk into the unknown. We are explorers, and curious at heart. This untameable curiosity is not our end, but our beginning. It is what advanced this civilization and it will continue to do so. So never, never let anybody tell you that we shouldn't look towards the stars and wonder, because that's what makes us human. Without this stargazing we are merely animals, accepting our fate in the dust...",POSITIVE
235,"I was extremely lucky to get the chance to see this film upon its first day release, before entering the cinema, my expectations were already high, after all, this was a film from the cinematic genius who brought us the likes of 'Inception' and 'The Dark Knight', to summarise the following review in a single sentence: I left the cinema in extreme awe from the visual masterpiece I had just viewed. A film that explores the psychological and emotional state of a man whose life revolves around his family, 'Interstellar' is a thrilling and thought-provoking film that boasts an intellectual story masterfully written by the Nolan brothers. Whilst there seems to have been influence from films like '2001: A Space Odyssey' and 'Apollo 13', 'Interstellar' is unique in its own way. Whilst the subject may be hard to comprehend at times, it can't be denied how visually monumental and thoughtful Christopher Nolan's epic science fiction masterpiece is, and can easily be named the best film of this year and possibly one of the greatest science fiction films to have ever graced the screen. A sheer brilliant feat of cinema.",POSITIVE
